"parameter","time","value","statistic","method"
"p: S->I",37,4.50923973236631e-05,"MSE","LW99"
"p: I->R",37,2.56841229661056e-05,"MSE","LW99"
"r: S->I",37,0.00216670391571644,"MSE","LW99"
"r: I->R",37,0.0021529277728196,"MSE","LW99"
"S",38,744442.9375,"MSE","LW99"
"I",38,131790.9125,"MSE","LW99"
"R",38,496435.505,"MSE","LW99"
"p: S->I",38,4.41274915135267e-05,"MSE","LW99"
"p: I->R",38,2.35957015780257e-05,"MSE","LW99"
"r: S->I",38,0.00200209303499416,"MSE","LW99"
"r: I->R",38,0.00200962678560469,"MSE","LW99"
"S",39,756218.43,"MSE","LW99"
"I",39,111169.83,"MSE","LW99"
"R",39,509602.1825,"MSE","LW99"
"p: S->I",39,4.31937904381309e-05,"MSE","LW99"
"p: I->R",39,2.21196842930442e-05,"MSE","LW99"
"r: S->I",39,0.00200996337564305,"MSE","LW99"
"r: I->R",39,0.00202568519214012,"MSE","LW99"
"S",40,715650.5,"MSE","LW99"
"I",40,92311.6775,"MSE","LW99"
"R",40,498992.6075,"MSE","LW99"
"p: S->I",40,4.29543975664557e-05,"MSE","LW99"
"p: I->R",40,2.14057463597659e-05,"MSE","LW99"
"r: S->I",40,0.00198959470170402,"MSE","LW99"
"r: I->R",40,0.00192373456370653,"MSE","LW99"
"S",41,738885.705,"MSE","LW99"
"I",41,80517.1625,"MSE","LW99"
"R",41,515261.01,"MSE","LW99"
"p: S->I",41,4.37430465674543e-05,"MSE","LW99"
"p: I->R",41,2.02178856577036e-05,"MSE","LW99"
"r: S->I",41,0.00196162798670322,"MSE","LW99"
"r: I->R",41,0.00193969295788433,"MSE","LW99"
"S",42,753295.05,"MSE","LW99"
"I",42,69648.115,"MSE","LW99"
"R",42,537620.485,"MSE","LW99"
"p: S->I",42,4.40624213384505e-05,"MSE","LW99"
"p: I->R",42,2.06907911312212e-05,"MSE","LW99"
"r: S->I",42,0.00192222303818043,"MSE","LW99"
"r: I->R",42,0.00191782619186522,"MSE","LW99"
"S",43,757015.785,"MSE","LW99"
"I",43,59119.1925,"MSE","LW99"
"R",43,552032.2025,"MSE","LW99"
"p: S->I",43,4.46435116935856e-05,"MSE","LW99"
"p: I->R",43,2.06962907510179e-05,"MSE","LW99"
"r: S->I",43,0.00187396267095534,"MSE","LW99"
"r: I->R",43,0.00187162131113272,"MSE","LW99"
"S",44,715304.935,"MSE","LW99"
"I",44,48993.6575,"MSE","LW99"
"R",44,540690.685,"MSE","LW99"
"p: S->I",44,4.43847349749741e-05,"MSE","LW99"
"p: I->R",44,2.00439305738735e-05,"MSE","LW99"
"r: S->I",44,0.00181797582637726,"MSE","LW99"
"r: I->R",44,0.00177065190001619,"MSE","LW99"
"S",45,716349.595,"MSE","LW99"
"I",45,39454.6675,"MSE","LW99"
